Code ;Product Type;Main Ingredients (Fruits);Origin;Sampling date;Other characteristics;Patulin concentration (ppb);;;
P1;Cider;Apple;Greece;12.10.2023;NA;<LOQ;;;
P2;Cider;Apple;Greece;12.10.2023;NA;<LOQ;;;
P3;Fruit Juice;Apple- Orange-Pear;Greece;12.10.2023;NA;<LOQ;;;
P4;Fruit Juice;Apple- Strawberry- Grape berries ;Greece;12.10.2023;NA;<LOQ;;;
P5;Fruit Juice;Apple- Pïmegranade-Apricot;Greece;12.10.2023;NA;<LOQ;;;
P6;fruit purree;Apple and pear;Switzerland ;14.10.2024;NA;<LOQ;;;
P7;Cider;Apple Watermelon ;Denmark;14.10.2024;NA;<LOQ;;;
P8;Cider;Apple Mango and Lime ;Denmark;14.10.2024;NA;<LOQ;;;
P9;Cider;Apple Grapefruit ;Greece;14.10.2024;NA;<LOQ;;;
P10;Cider;Apple;Greece;14.10.2024;NA;<LOQ;;;
P11;Cider;Apple ;Greece;14.10.2024;NA;<LOQ;;;
P12;Cider;Apple Strawberry and Lime;Greece;14.10.2024;0% alcohol;<LOQ;;;
P13;Cider;Apple Red Berries;UK;14.10.2024;NA;<LOQ;;;
P14;Cider;Apple;Greece;14.10.2024;NA;<LOQ;;;
P15;Apple juice ;Apple;Greece;14.10.2024;NA;<LOQ;;;
P16;Apple juice ;Apple ;Greece;14.10.2024;NA;<LOQ;;;
P17;Apple juice ;Apple;Greece;14.10.2024;NA;<LOQ;;;
P18;Apple juice ;Apple;Greece;14.10.2024;100% natural;<LOQ;;;
P19;Apple juice ;Apple;Spain;07.11.2024;Organic;<LOQ;;;
P20;Apple juice ;Apple;Netherlands;07.11.2024;Organic;<LOQ;;;
P21;Apple drink;Apple;Netherlands;07.11.2024;Organic;7±1;;;
P22;Apple juice ;Apple;Netherlands;07.11.2024;Organic;<LOQ;;;
P23;Apple juice ;Apple;Netherlands;07.11.2024;Organic non filtered;<LOQ;;;
P24;Apple juice ;Apple;Greece, Elassona;07.11.2024;Organic;<LOQ;;;
P25;Apple juice ;Apple;Germany;07.11.2024;Organic;10±3;;;
P26;Apple Vinegar;Apple;Greece Piliio;07.11.2024;Organic;<LOQ;;;
P27;Apple vinegar;Apple;Greece;07.11.2024;unfiltered organic;<LOQ;;;
P28;Apple vinegar;Apple;Greece;07.11.2024;unfiltered organic;<LOQ;;;
P29;Apple vinegar;Apple;Greece, Elassona;07.11.2024;Organic;<LOQ;;;
P30;Baby food Apple with strawberry ;Apple and Strawberry;Italy;07.11.2024;Organic;8±2;;;
P31;chutney;Apple ;Greece;07.11.2024;Organic;<LOQ;;;
P32;baby food;Apple and Plum;Germany;07.11.2024;Organic;<LOQ;;;
P33;Apple juice ;Apple;Turkey;01.06.2025;Concentrated;7±2;;;
P34;Apple juice ;Apple;Turkey;01.06.2025;Concentrated;15±4;;;
