code ;Replicate;Origin;Color;Type;Varieties;Delivered to ITAP;Alcoholic Title (v/v %);pH;TA (tart. Ac. g/L);VA (ac.Ac. g/L);TPI;Ochratoxin (ppb)
1;a;Thessaloniki;rose;dry;Roditis (Alepou)/Merlot;30/4/2025;12.4;3.28;5.3;0.29;6.77;<LOQ
1;b;Thessaloniki;rose;dry;Roditis (Alepou)/Merlot;30/4/2025;12.8;3.44;5.42;0.25;7.23;<LOQ
2;a;Goumenissa;white;dry;Unknown;30/4/2025;12.5;3.02;5.32;0.34;5.45;<LOQ
2;b;Goumenissa;white;dry;Unknown;30/4/2025;12.2;3.1;5.64;0.29;4.82;<LOQ
3;a;Goumenissa;red;dry;Unknown;30/4/2025;14.5;3.58;5.86;0.59;121.93;<LOQ
3;b;Goumenissa;red ;dry;Unknown;30/4/2025;14;3.47;5.74;0.45;112.24;<LOQ
4;a;Thessaloniki;red ;sweet;Unknown;30/4/2025;13.1;3.93;5.15;0.55;31.54;<LOQ
4;b;Thessaloniki;red ;sweet;Unknown;30/4/2025;12.9;3.87;5.07;0.49;35.4;<LOQ
5;a;Thessaloniki;white ;dry;Unknown;30/4/2025;12.2;3.77;5;0.72;7.47;0.51
5;b;Thessaloniki;white ;dry;Unknown;30/4/2025;12.51;3.54;4.74;0.65;9.21;ΝΑ
6;a;Thessaloniki;white ;dry;Moschato;30/4/2025;11;3.29;4.72;0.57;7.9;<LOQ
6;b;Thessaloniki;white ;dry;Moschato;30/4/2025;11.5;3.43;4.65;0.63;10;<LOQ
7;a;Thessaloniki;white ;dry;Unknown;30/4/2025;11;3.32;5.18;0.38;13.27;<LOQ
7;b;Thessaloniki;white ;dry;Unknown;30/4/2025;11.2;3.41;5.25;0.29;12.11;<LOQ
8;a;Thessaloniki;red;dry;Unknown;30/4/2025;12.1;3.3;6.17;0.48;43.67;0.55
8;b;Thessaloniki;red;dry;Unknown;30/4/2025;11.25;3.54;5.48;0.4;45.21;ΝΑ
9;a;Athina Petroupoli;red;dry;Mesenikola;14/4/2025;11.1;3.72;4.9;0.52;54.41;<LOQ
9;b;Athina Petroupoli;red;dry;Mesenikola;14/4/2025;10.78;3.45;4.45;0.45;51.21;<LOQ
10;a;Athina Petroupoli;red;semi- sweet;Unknown;14/4/2025;12.1;4.12;4.55;0.38;36.72;<LOQ
