Code;Cereal;Area of Origin;Country of Origin;Sampling date;Delivered to ITAP;Zearalenone (mean±stdev ppb);Fumonisin (mean±stdev ppm)
1;Oat;Thessaly ;Greece;July 2023;August 2023;11.19±5.12;n.d.1
2;Oat;Thessaly ;Greece;July 2023;August 2023;81.43±13.95;n.d.
3;Rice;Aspropotamos- Thessaloniki ;Greece;July 2023;August 2023;114.37±21.47;n.d.
4;Rice;Aspropotamos- Thessaloniki ;Greece;July 2023;August 2023;147.03±16.08;n.d.
5;Corn;Russia;Russia;July 2023;August 2023;171.65±32.91;n.d.
6;Corn;Russia;Russia;July 2023;August 2023;56.80±13.51;n.d.
7;Corn;Russia;Russia;July 2023;August 2023;57.87±18.47;n.d.
8;Mixed cereals;Thessaly ;Greece;July 2023;August 2023;89.01±14.50;0.17±0.02
9;Pellet mixed;Thessaly ;Greece;July 2023;August 2023;76.80±17.30;n.d.
10;Oat;Thessaly ;Greece;July 2023;August 2023;83.45±17.36;n.d.
11;Wheat ;Thessaly ;Greece;July 2023;August 2023;135.56±19.43;0.05±0.03
12;;Thessaly ;Greece;July 2023;August 2023;143.56±29.67;0.05±0.03
13;Corn;Thessaly ;Greece;July 2023;August 2023;84.91±13.42;5.76±0.54
14;Wheat ;North Greece;Greece;September 2023;September 2023;21.25±3.02;0.08±0.01
15;Wheat ;North Greece;Greece;September 2023;September 2023;37.62±11.98;n.d.
16;Wheat ;North Greece;Greece;September 2023;September 2023;33.93±11.3;n.d.
17;Rice;Macedonia;Greece;September 2023;September 2023;38.15±14.94;n.d.
18;Wheat ;Volos;Greece;September 2023;September 2023;16.14±1.67;n.d.
19;Corn;Russia;Russia;September 2023;September 2023;43.87±4.35;n.d.
20;Barley;Larissa;Greece;September 2023;September 2023;n.d.;n.d.
21;Rice;Thessaly ;Greece;September 2023;September 2023;24.57±11.94;0.12±0.01
22;Rice;Thessaly ;Greece;September 2023;September 2023;74.50±24.39;0.10±0.02
23;Malt;Volos;Greece;September 2023;September 2023;30.15±8.62;n.d.
24;Malt;Greece;Greece;December 2023;December 2023;n.d.;n.d.
25;Malt;Greece;Greece;December 2023;December 2023;11.14±2.51;n.d.
26;Malt;Greece;Greece;December 2023;December 2023;16.97±1.67;n.d.
27;Malt;Greece;Greece;December 2023;December 2023;n.d.;n.d.
28;Hop;France;France;December 2023;December 2023;615.30±144.55;3.42±0.96
29;Hop;Germany;Germany;December 2023;December 2023;321.72±86.47;1.32±0.14
30;Hop;Germany;Germany;December 2023;December 2023;286.98±63.85;1.13±0.11
31;Corn ;Thessaly ;Greece;September 2023;September 2023;1255.43±257.36;10.46±1.14
32;Corn ;North Greece;Greece;September 2023;September 2023;529.99±135.98;3.21±0.6
33;Corn ;Thessaly ;Greece;September 2023;September 2023;277.92±77.05;1.12±0.11
34;Corn ;Thessaly ;Greece;September 2023;September 2023;668.58±155.61;4.08±1.44
