Variety;Area;Vineyard;Vintage;Type;wine code;replicate;v/v %;pH;Total Acidity (tart. Ac. mg/L);Volatile acidity (Acetic Acid mg/L);Total Phenolic Index;OTA consentration;mean tem;max temp;min temp;rain
Syrah;Thiva;Muses Valley;2022;Red;27;a;11,9;3,41;6,77;0,77;44,19;0,247;20,6;35,04;14,4;23,44
Syrah;Thiva;Muses Valley;2022;Red;27;b;12;3,42;5,23;0,73;43;0,1994;20,6;35,04;14,4;23,44
Syrah;Thiva;Muses Valley;2022;Red;27;c;12,1;3,48;5,54;0,71;44,98;0,2768;20,6;35,04;14,4;23,44
Syrah;Florina;Florina;2021;Red;42;a;14,3;3,62;5,07;1,07;43,79;0,623;23,8;37,18;7,54;16,2
Syrah;Florina;Florina;2021;Red;42;b;14,2;3,67;6,1;1,09;44;0,57;23,8;37,18;7,54;16,2
Syrah;Florina;Florina;2021;Red;42;c;14,5;3,56;6,02;1,07;42,7;0,58;23,8;37,18;7,54;16,2
Syrah;Viotia;Thiva;2023;Red;48;a;14,5;3,54;5,56;1,8;56,58;1,25;24,16;38,34;13,76;49,44
Syrah;Viotia;Thiva;2023;Red;48;b;14,6;3,5;5,59;1,9;55,45;1,13;24,16;38,34;13,76;49,44
Syrah;Viotia;Thiva;2023;Red;48;c;14,3;3,52;5,49;1,7;58,56;1,1;24,16;38,34;13,76;49,44
Syrah;Viotia;Thiva;2020;Red;51;a;13,3;3,52;6,1;0,26;48,74;1,908;25,04;38,5;16,4;13,44
Syrah;Viotia;Thiva;2020;Red;51;b;13;3,5;6;0,27;44,21;1,909;25,04;38,5;16,4;13,44
Syrah;Viotia;Thiva;2020;Red;51;c;13,4;3,51;6,1;0,25;39,82;1,754;25,04;38,5;16,4;13,44
Syrah;Érakleio;Mires;2021;Red;66;a;12,5;3,51;5,52;0,47;52,03;0,1635;23,88;37,12;12,22;4,68
Syrah;Érakleio;Mires;2021;Red;66;b;12,6;3,49;5,52;0,43;50,11;0,178;23,88;37,12;12,22;4,68
Syrah;Érakleio;Mires;2021;Red;66;c;12,7;3,57;5,28;0,41;55,42;0,172;23,88;37,12;12,22;4,68
Xinomavro;Chalkidiki;Chalkidiki;2021;Red;5;a;13,1;3,21;6,87;0,78;33,87;1,342;23,5;33,92;15,36;17,78
Xinomavro;Chalkidiki;Chalkidiki;2021;Red;5;b;12,9;3,32;6,72;0,7;32;1,439;23,5;33,92;15,36;17,78
Xinomavro;Chalkidiki;Chalkidiki;2021;Red;5;c;13;3,28;6,76;0,65;33,89;1,405;23,5;33,92;15,36;17,78
Xinomavro;Larissa;Rapsani;2020;Red;12;a;12,3;3,1;7,72;0,43;26,17;2,193;23,9;37,06;13,4;24,56
Xinomavro;Larissa;Rapsani;2020;Red;12;b;12,3;3,14;7,69;0,47;30;2,027;23,9;37,06;13,4;24,56
Xinomavro;Larissa;Rapsani;2020;Red;12;c;12,2;3,15;7,7;0,5;31;2,013;23,9;37,06;13,4;24,56
Xinomavro;Florina;Goyni;2020;Red;21;a;13;3,37;6,46;0,5;30,81;0,55;19,76;34,2;8,56;52,6
Xinomavro;Florina;Goyni;2020;Red;21;b;13,1;3,35;6,51;0,51;30,99;0,559;19,76;34,2;8,56;52,6
Xinomavro;Florina;Goyni;2020;Red;21;c;13,2;3,32;6,48;0,48;30,1;0,53;19,76;34,2;8,56;52,6
Xinomavro;Florina;Skatzoxiros;2020;Red;22;a;12,6;3,34;6,92;0,53;27,91;0,574;22,3;35,58;10,48;52,6
Xinomavro;Florina;Skatzoxiros;2020;Red;22;b;13;3,39;6,99;0,56;27,99;0,652;22,3;35,58;10,48;52,6
Xinomavro;Florina;Skatzoxiros;2020;Red;22;c;12,9;3,35;6,9;0,51;28,18;0,664;22,3;35,58;10,48;52,6
Xinomavro;Drama;Drama;2021;Red;24;a;14;3,36;5,61;0,35;34,71;0,589;19,76;34,2;8,56;32,14
Xinomavro;Drama;Drama;2021;Red;24;b;14,2;3,32;5,62;0,35;34,77;0,567;19,76;34,2;8,56;32,14
Xinomavro;Drama;Drama;2021;Red;24;c;14;3,34;5,61;0,36;34,89;0,533;19,76;34,2;8,56;32,14
Xinomavro;Karditsa;Karditsa;2021;Red;32;a;12,6;3,39;6,24;0,54;28,43;0,284;19,76;34,2;8,56;24,88
Xinomavro;Karditsa;Karditsa;2021;Red;32;b;12,7;3,36;6,28;0,58;29;0,2631;19,76;34,2;8,56;24,88
Xinomavro;Karditsa;Karditsa;2021;Red;32;c;12,3;3,4;6,29;0,56;29,42;0,316;19,76;34,2;8,56;24,88
Xinomavro;Florina;Hedgehog;2021;Red;45;a;13,7;3,36;7,91;0,53;39,72;0,94;22,3;35,58;10,48;16,2
Xinomavro;Florina;Hedgehog;2021;Red;45;b;13,6;3,35;7;0,52;37;0,86;22,3;35,58;10,48;16,2
Xinomavro;Florina;Hedgehog;2021;Red;45;c;13,5;3,4;7,94;0,51;35;0,99;22,3;35,58;10,48;16,2
Sauvignon blanc;Florina;Amydeo;2022;white;25;a;13;3,39;5,93;0,31;7,8;1,147;22,1;34,775;12,65;60,3
Sauvignon blanc;Florina;Amydeo;2022;white;25;b;13,4;3,42;5,9;0,3;7,9;1,252;22,1;34,775;12,65;60,3
Sauvignon blanc;Florina;Amydeo;2022;white;25;c;13,2;3,42;5,91;0,34;7,7;1,165;22,1;34,775;12,65;60,3
Sauvignon blanc;Elassona;Elassona;2023;white;28;a;11,4;3,59;4,89;0,4;7,08;3,505;22,9;35,02;12,54;69,66
Sauvignon blanc;Elassona;Elassona;2023;white;28;b;11,6;3,58;4,86;0,41;7,05;3,357;22,9;35,02;12,54;69,66
Sauvignon blanc;Elassona;Elassona;2023;white;28;c;11,5;3,58;4,87;0,38;7,03;2,95;22,9;35,02;12,54;69,66
Sauvignon blanc;Florina;Florina;2020;white;38;a;13,1;3,37;6,12;0,36;9,18;2,391;20,58;34,78;9,86;55,92
Sauvignon blanc;Florina;Florina;2020;white;38;b;13;3,35;6,1;0,4;9,1;2,059;20,58;34,78;9,86;55,92
Sauvignon blanc;Florina;Florina;2020;white;38;c;12,7;3,37;6,03;0,33;9,67;2,314;20,58;34,78;9,86;55,92
Sauvignon blanc;Larissa;Elassona;2022;white;41;a;11,6;3,61;5,91;1;9,48;5,539;24,16;38,34;13,76;66,38
Sauvignon blanc;Larissa;Elassona;2022;white;41;b;11,2;3,67;5,98;0,9;9;5,19;24,16;38,34;13,76;66,38
Sauvignon blanc;Larissa;Elassona;2022;white;41;c;11,5;3,62;6;1,1;9,9;5,011;24,16;38,34;13,76;66,38
Sauvignon blanc;Viotia;Thiva;2022;white;50;a;12,6;3,41;5,52;0,3;9,2;7,82;25,04;37,18;16,4;23,44
Sauvignon blanc;Viotia;Thiva;2022;white;50;b;12,7;3,39;5,3;0;9,87;7,62;25,04;37,18;16,4;23,44
Sauvignon blanc;Viotia;Thiva;2022;white;50;c;12,3;3,4;5,29;0,2;9;7,32;25,04;37,18;16,4;23,44
Sauvignon Blanc;Viotia;Thiva;2022;white;53;a;12,9;3,42;4,56;0,56;9,99;0,37;24,16;38,34;13,76;23,44
Sauvignon Blanc;Viotia;Thiva;2022;white;53;b;12,5;3,43;4,49;0,54;9;0,377;24,16;38,34;13,76;23,44
Sauvignon Blanc;Viotia;Thiva;2022;white;53;c;13;3,49;4,6;0,5;9,32;0,27;24,16;38,34;13,76;23,44
Sauvignon blanc;Achaia;Kalabrita;2023;white;61;a;12,6;3,41;5,69;0,34;6,7;0,66;20,44;34,34;7,78;29,68
Sauvignon blanc;Achaia;Kalabrita;2023;white;61;b;12,3;3,4;5,7;0,35;7;0,64;20,44;34,34;7,78;29,68
Sauvignon blanc;Achaia;Kalabrita;2023;white;61;c;12,2;3,45;5,55;0,37;7,9;0,7;20,44;34,34;7,78;29,68
Sauvignon blanc;Achaia;Kalabrita;2022;white;62;a;12,7;3,42;5,64;0,35;7,1;0,73;20,64;32,78;10,74;72,4
Sauvignon blanc;Achaia;Kalabrita;2022;white;62;b;12,2;3,45;5,68;0,36;7,8;0,68;20,64;32,78;10,74;72,4
Sauvignon blanc;Achaia;Kalabrita;2022;white;62;c;12,4;3,4;5,8;0,32;7,9;0,838;20,64;32,78;10,74;72,4
Sauvignon blanc;Érakleio;Mires;2023;white;65;a;13,2;3,32;5,48;0,34;7,45;0,1528;22,96;36,92;11,42;4,68
Sauvignon blanc;Érakleio;Mires;2023;white;65;b;13,2;3,4;5,45;0,32;7,34;0,1449;22,96;36,92;11,42;4,68
Sauvignon blanc;Érakleio;Mires;2023;white;65;c;13,6;3,39;5,42;0,33;7,42;0,153;22,96;36,92;11,42;4,68
Sauvignon blanc;Florina;Amydeo;2023;white;70;a;13,8;3,44;6,01;0,38;6,89;0,1479;19,86;32,76;9,34;66,52
Sauvignon blanc;Florina;Amydeo;2023;white;70;b;14;3,46;6,04;0,37;6,44;0,156;19,86;32,76;9,34;66,52
Sauvignon blanc;Florina;Amydeo;2023;white;70;c;13,9;3,45;5,67;0,38;6,76;0,1433;19,86;32,76;9,34;66,52
Asyrtiko;Larissa;Elassona;2021;white;14;a;13,4;3,28;5,68;0,26;11,8;0,602;23,9;38,54;11,66;34,96
Asyrtiko;Larissa;Elassona;2021;white;14;b;13,4;3,27;5,64;0,22;11,4;0,588;23,9;38,54;11,66;34,96
Asyrtiko;Larissa;Elassona;2021;white;14;c;13,6;3,28;5,69;0,24;11,5;0,687;23,9;38,54;11,66;34,96
Asyrtiko;Larissa;Elassona;2022;white;15;a;13,3;3,3;5,62;0,27;12,7;0,68;22,96;36,92;11,42;66,38
