Sample Number; Nï;Product;Proccesed by Heat;Type;Proccessed by salt;Country of Origin;Weight;Area ;Retailer;Sampling Date;Sampled by;Purchased;Delivered to UDL by
1;1;Peanut ;Roasted ;Pealed;No Salt;Argentina;0,106 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
2;2;Peanut ;Roasted ;Pealed;Salted;Argentina;0,112 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
3;3;Pistachios ;Roasted ;In- shell;No Salt;Greece;0,104 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
4;4;Pistachios ;Roasted ;In- shell;Salted;Greece;0,106 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
5;5;Peanut ;Roasted ;Unpealed;Salted;Argentina;0,104 kg;Omonoia;Varvakeiou yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
6;6;Pistachios ;Roasted ;In- shell;Salted;Greece;0,106 kg;Omonoia;Varvakeiou yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
7;7;Arachis (Peanut);Roasted ;In- shell;No Salt;Egypt;0,200 kg;Omonoia;Varvakeiou yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
8;8;Peanut;Roasted ;Pealed;Salted;Egypt;0,1 kg;Omonoia;no name;September 2023;Miliordos;In shop;Markou(2-12 October 23)
9;9;Peanut ;Roasted ;Unpealed;Salted;Egypt;0,1 kg;Omonoia;Genaiopoulos - Angel nuts;September 2023;Miliordos;In shop;Markou(2-12 October 23)
10;10;Peanut ;Roasted ;Unpealed;No Salt;Egypt;0,1 kg;Omonoia;Genaiopoulos - Angel nuts;September 2023;Miliordos;In shop;Markou(2-12 October 23)
11;11;Pistachios ;Roasted ;In- shell;Salted;Greece;0,25 kg;Omonoia;Greets;September 2023;Miliordos;In shop;Markou(2-12 October 23)
12;12;Peanut ;Roasted ;Pealed;Salted;Argentina;104 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
13;13;Peanut ;Roasted ;Pealed;No Salt;Argentina;0,102 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
14;14;Pistachios ;Roasted ;In- shell;Salted;Greece;0,110 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
15;15;Pistachios ;Roasted ;In- shell;No Salt;Greece;0,104 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
16;16;Arachis (Peanut);Roasted ;In- shell;Salted;Egypt;0,118 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
17;17;Arachis (Peanut);Roasted ;In- shell;No Salt;Egypt;0,100 kg;Omonoia;1001 yefseis;September 2023;Miliordos;In shop;Markou(2-12 October 23)
18;149;Pistachios ;Roasted ;In- shell;Salted;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
19;185;Pistachios (nutmeat);Raw;In- shell;No Salt;Greece;0,100 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
20;928;Pistachios;Roasted ;In- shell;No Salt;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
21;409;Pistachios ;Raw;In- shell;No Salt;Greece, PDO Aigina;0,150 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
22;205;Pistachios (nutmeat);Roasted ;In- shell;Salted;Greece;0,100 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
23;143;Peanut;Roasted ;Unpealed;Salted;Greece;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
24;479;Peanut;Roasted ;Unpealed;Salted;Greece;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
25;2412;Peanut;Roasted ;Unpealed;Salted;Argentina;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
26;282;Peanut;Roasted ;Unpealed;Salted;Brazil;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
27;2762;Peanut;Raw;Unpealed;No Salt;Argentina;0,250 kg;Omonoia;1001 yefseis;Noveber 2023;Natskoulis;internet shop;Post
