Sample Num;Type;Country of Origin;Date;Month;Year;Sampling Lot Number;Weight (gr);Procured by ;Sampled by;Delivered to CU by ;
1;Sesame;NIGERIA;;;2023;745-749;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
2;Sesame;NIGERIA;;;2023;750-754;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
3;Sesame;PAKISTAN ;;;2023;795-804;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
4;Sesame;NIGERIA;;;2023;755-759;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
5;Sesame;NIGERIA;23;March;2023;713-717;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
6;Sesame;NIGERIA;27;March;2023;718-727;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
7;Sesame;NIGERIA;28;March;2023;728-737;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
8;Sesame;INDIA;29;March;2023;760-769;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
9;Sesame;INDIA;30;March;2023;775-784;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
10;Sesame;NIGERIA;30;March;2023;770-774;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
11;Sesame;NIGERIA;30;March;2023;785-794;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
12;Sesame;MOZAMBIQUE;7;April;2023;805-809;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
13;Sesame;INDIA;7;April;2023;820-829;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
14;Sesame;PAKISTAN ;10;April;2023;809-819;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
15;Sesame;TURKEY;11;April;2023;831-835;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
16;Sesame;INDIA;25;April;2023;845-854;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
17;Sesame;NIGERIA;27;April;2023;855-859;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
18;Sesame;ETHIOPIA;28;April;2023;860-864;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
19;Sesame;ETHIOPIA;28;April;2023;865-869;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
20;Sesame;INDIA;3;May;2023;895-904;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
21;Sesame;NIGERIA;3;May;2023;905-909;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
22;Sesame;NIGERIA;3;May;2023;910-914;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
23;Sesame;TURKEY;4;May;2023;917-921;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
24;Sesame;INDIA;4;May;2023;922-931;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
25;Sesame;ETHIOPIA;4;May;2023;932-936;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
26;Sesame;ETHIOPIA;4;May;2023;937-941;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
27;Sesame;BOURKINA FASO;4;May;2023;942-946;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
28;Sesame;ETHIOPIA;4;May;2023;947-951;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
29;Sesame;CHAD;9;May;2023;952-956;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
30;Sesame;NIGERIA;18;May;2023;969-973;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
31;Sesame;NIGERIA;19;May;2023;974-978;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
32;Sesame;INDIA;22;May;2023;979-988;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
33;Sesame;NIGERIA;24;May;2023;994-998;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
34;Sesame;INDIA;25;May;2023;1004-1008;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
35;Sesame;ETHIOPIA;25;May;2023;1009-1013;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
36;Sesame;ETHIOPIA;26;May;2023;1014-1018;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
37;Sesame;SENEGAL;26;May;2023;1019-1023;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
38;Sesame;NIGERIA;30;May;2023;1030-1034;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
39;Sesame;NIGERIA;1;June;2023;1035-1039;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
40;Sesame;NIGERIA;1;June;2023;1040-1044;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
41;Sesame;TURKEY;1;June;2023;1045-1054;100;ITAP- ELGO;Miliordos; Miliordos November 2023;
