Wine Label;Winery;Variety;Area;Vineyard;Vintage;wine code;replicate;;;;;;;;;;;;
XIN-AMYNDEO;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2019;1;a;;;;;;;;;;;;
XIN-AMYNDEO;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2019;1;b;;;;;;;;;;;;
XIN-AMYNDEO;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2019;1;c;;;;;;;;;;;;
XIN-AMYNDEO;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2020;2;a;;;;;;;;;;;;
XIN-AMYNDEO;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2020;2;b;;;;;;;;;;;;
XIN-AMYNDEO;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2020;2;c;;;;;;;;;;;;
XIN-TSANTALIS;Agricultural University Athens;Xinomavro;Tsantalis;Maronia;2021;3;a;;;;;;;;;;;;
XIN-TSANTALIS;Agricultural University Athens;Xinomavro;Tsantalis ;Maronia;2021;3;b;;;;;;;;;;;;
XIN-TSANTALIS;Agricultural University Athens;Xinomavro;Tsantalis;Maronia;2021;3;c;;;;;;;;;;;;
XIN-KIR GIANNIS;Agricultural University Athens;Xinomavro;Kir Yiannis;Amydeo;2021;4;a;;;;;;;;;;;;
XIN-KIR GIANNIS;Agricultural University Athens;Xinomavro;Kir Yiannis;Amydeo;2021;4;b;;;;;;;;;;;;
XIN-KIR GIANNIS;Agricultural University Athens;Xinomavro;Kir Yiannis;Amydeo;2021;4;c;;;;;;;;;;;;
XIN-CHALKIDIKI;Agricultural University Athens;Xinomavro;Amydeo;Chalkidiki;2021;5;a;;;;;;;;;;;;
XIN-CHALKIDIKI;Agricultural University Athens;Xinomavro;Amydeo;Chalkidiki;2021;5;b;;;;;;;;;;;;
XIN-CHALKIDIKI;Agricultural University Athens;Xinomavro;Amydeo;Chalkidiki;2021;5;c;;;;;;;;;;;;
XIN-AMYNDEO- FANOS;Agricultural University Athens;Xinomavro;Amydeo;Fanos;2020;6;a;;;;;;;;;;;;
XIN-AMYNDEO- FANOS;Agricultural University Athens;Xinomavro;Amydeo;Fanos;2020;6;b;;;;;;;;;;;;
XIN-AMYNDEO- FANOS;Agricultural University Athens;Xinomavro;Amydeo;Fanos;2020;6;c;;;;;;;;;;;;
XIN-KIR GIANNIS;Agricultural University Athens;Xinomavro;Kir Yiannis;Goymenisa;2021;7;a;;;;;;;;;;;;
XIN-KIR GIANNIS;Agricultural University Athens;Xinomavro;Kir Yiannis;Goymenisa;2021;7;b;;;;;;;;;;;;
XIN-KIR GIANNIS;Agricultural University Athens;Xinomavro;Kir Yiannis;Goymenisa;2021;7;c;;;;;;;;;;;;
ASSYRTIKO ;Avantis;Assyrtiko;Avantis;Evia;2020;8;a;;;;;;;;;;;;
ASSYRTIKO ;Avantis;Assyrtiko;Avantis;Evia;2020;8;b;;;;;;;;;;;;
ASSYRTIKO ;Avantis;Assyrtiko;Avantis;Evia;2020;8;c;;;;;;;;;;;;
Syrah-9 Muses;Muses Estate ;Syrah;Muses Estate;Viotia;2023;9;a;;;;;;;;;;;;
Syrah- 9 Muses;Muses Estate ;Syrah;Muses Estate;Viotia;2023;9;b;;;;;;;;;;;;
Syrah- 9 Muses;Muses Estate ;Syrah;Muses Estate;Viotia;2023;9;c;;;;;;;;;;;;
Syrah;Avantis;Syrah;Avantis;Evia;2020;10;a;;;;;;;;;;;;
Syrah;Avantis;Syrah;Avantis;Evia;2020;10;b;;;;;;;;;;;;
Syrah;Avantis;Syrah;Avantis;Evia;2020;10;c;;;;;;;;;;;;
Syrah;Avantis;Syrah;Avantis;Evia;2022;11;a;;;;;;;;;;;;
Syrah;Avantis;Syrah;Avantis;Evia;2022;11;b;;;;;;;;;;;;
Syrah;Avantis;Syrah;Avantis;Evia;2022;11;c;;;;;;;;;;;;
XIN-RAPSANI2020;Agricultural University Athens;Xinomavro;Rapsani;Rapsani;2020;12;a;;;;;;;;;;;;
XIN-RAPSANI2021;Agricultural University Athens;Xinomavro;Rapsani;Rapsani;2020;12;b;;;;;;;;;;;;
XIN-RAPSANI2022;Agricultural University Athens;Xinomavro;Rapsani;Rapsani;2020;12;c;;;;;;;;;;;;
XIN-2021;Agricultural University Athens;Xinomavro;AUA;Naousa;2021;13;a;;;;;;;;;;;;
XIN-2021;Agricultural University Athens;Xinomavro;AUA;Naousa;2021;13;b;;;;;;;;;;;;
XIN-2021;Agricultural University Athens;Xinomavro;AUA;Naousa;2021;13;c;;;;;;;;;;;;
ASSYRTIKO 2021;Elassona Winery;Assyrtiko;Elassona;Elassona;2021;14;a;;;;;;;;;;;;
ASSYRTIKO 2021;Elassona Winery;Assyrtiko;Elassona;Elassona;2021;14;b;;;;;;;;;;;;
ASSYRTIKO 2021;Elassona Winery;Assyrtiko;Elassona;Elassona;2021;14;c;;;;;;;;;;;;
ASSYRTIKO  2022;Elassona Winery;Assyrtiko;Elassona;Elassona;2022;15;a;;;;;;;;;;;;
ASSYRTIKO  2022;Elassona Winery;Assyrtiko;Elassona;Elassona;2022;15;b;;;;;;;;;;;;
ASSYRTIKO  2022;Elassona Winery;Assyrtiko;Elassona;Elassona;2022;15;c;;;;;;;;;;;;
ASSYRTIKO SPATA 2020;Agricultural University Athens;Assyrtiko;Spata;Spata;2020;16;a;;;;;;;;;;;;
ASSYRTIKO SPATA 2020;Agricultural University Athens;Assyrtiko;Spata;Spata;2020;16;b;;;;;;;;;;;;
ASSYRTIKO SPATA 2020;Agricultural University Athens;Assyrtiko;Spata;Spata;2020;16;c;;;;;;;;;;;;
ASSYRTIKO NEMEA GAIA 2020;Agricultural University Athens;Assyrtiko;Nemea;Nemea;2020;17;a;;;;;;;;;;;;
ASSYRTIKO NEMEA GAIA 2020;Agricultural University Athens;Assyrtiko;Nemea;Nemea;2020;17;b;;;;;;;;;;;;
ASSYRTIKO NEMEA GAIA 2020;Agricultural University Athens;Assyrtiko;Nemea;Nemea;2020;17;c;;;;;;;;;;;;
ASSYRTIKO- ARGYROS B- 2020;Argyros Estate ;Assyrtiko;Santorini;Santorini;2020;18;a;;;;;;;;;;;;
ASSYRTIKO- ARGYROS B- 2020;Argyros Estate ;Assyrtiko;Santorini;Santorini;2020;18;b;;;;;;;;;;;;
ASSYRTIKO- ARGYROS B- 2020;Argyros Estate ;Assyrtiko;Santorini;Santorini;2020;18;c;;;;;;;;;;;;
ASSYRTIKO KARDITSA B 2020;Agricultural University Athens;Assyrtiko;Karditsa;Karditsa;2020;19;a;;;;;;;;;;;;
ASSYRTIKO KARDITSA B 2020;Agricultural University Athens;Assyrtiko;Karditsa;Karditsa;2020;19;b;;;;;;;;;;;;
ASSYRTIKO KARDITSA B 2020;Agricultural University Athens;Assyrtiko;Karditsa;Karditsa;2020;19;c;;;;;;;;;;;;
ASSYRTIKO PAVLIDIS B DRAMA 2020;Agricultural University Athens;Assyrtiko;Drama;Drama;2020;20;a;;;;;;;;;;;;
ASSYRTIKO PAVLIDIS B DRAMA 2020;Agricultural University Athens;Assyrtiko;Drama;Drama;2020;20;b;;;;;;;;;;;;
ASSYRTIKO PAVLIDIS B DRAMA 2020;Agricultural University Athens;Assyrtiko;Drama;Drama;2020;20;c;;;;;;;;;;;;
KIR GIANNI XINOMAVRO GOUNI2020;Kir Yiannis;Xinomavro;Amydeo- Gouni;Goyni;2020;21;a;;;;;;;;;;;;
KIR GIANNI XINOMAVRO GOUNI2020;Kir Yiannis;Xinomavro;Amydeo- Gouni;Goyni;2020;21;b;;;;;;;;;;;;
KIR GIANNI XINOMAVRO GOUNI2020;Kir Yiannis;Xinomavro;Amydeo- Gouni;Goyni;2020;21;c;;;;;;;;;;;;
XINOMAVRO SKATZOXOIROS AMYDEO 2020;Agricultural University Athens;Xinomavro;Amydeo- Skatzoxiros;Skatzoxiros;2020;22;a;;;;;;;;;;;;
XINOMAVRO SKATZOXOIROS AMYDEO 2020;Agricultural University Athens;Xinomavro;Amydeo- Skatzoxiros;Skatzoxiros;2020;22;b;;;;;;;;;;;;
XINOMAVRO SKATZOXOIROS AMYDEO 2020;Agricultural University Athens;Xinomavro;Amydeo- Skatzoxiros;Skatzoxiros;2020;22;c;;;;;;;;;;;;
XINOMAVRO ALPHA B 2020;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2020;23;a;;;;;;;;;;;;
XINOMAVRO ALPHA B 2020;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2020;23;b;;;;;;;;;;;;
XINOMAVRO ALPHA B 2020;Agricultural University Athens;Xinomavro;Amydeo;Amydeo;2020;23;c;;;;;;;;;;;;
XINOMAVRO DRAMA 2021;Agricultural University Athens;Xinomavro;Drama;Drama;2021;24;a;;;;;;;;;;;;
XINOMAVRO DRAMA 2021;Agricultural University Athens;Xinomavro;Drama;Drama;2021;24;b;;;;;;;;;;;;
XINOMAVRO DRAMA 2021;Agricultural University Athens;Xinomavro;Drama;Drama;2021;24;c;;;;;;;;;;;;
SAUVIGNON BLANC ALPHA 2022;Alpha Estate;Sauvignon blanc;Amydeo;Amydeo;2022;25;a;;;;;;;;;;;;
SAUVIGNON BLANC ALPHA 2022;Alpha Estate;Sauvignon blanc;Amydeo;Amydeo;2022;25;b;;;;;;;;;;;;
SAUVIGNON BLANC ALPHA 2022;Alpha Estate;Sauvignon blanc;Amydeo;Amydeo;2022;25;c;;;;;;;;;;;;
SAUVIGNON BLANC ALPHA 2023;Alpha Estate;Sauvignon blanc;Amydeo;Amydeo;2023;26;a;;;;;;;;;;;;
SAUVIGNON BLANC ALPHA 2023;Alpha Estate;Sauvignon blanc;Amydeo;Amydeo;2023;26;b;;;;;;;;;;;;
SAUVIGNON BLANC ALPHA 2023;Alpha Estate;Sauvignon blanc;Amydeo;Amydeo;2023;26;c;;;;;;;;;;;;
IANTHI MENEXE;Agatsa Winery;Syrah;Thiva;Thiva;2022;27;a;;;;;;;;;;;;
IANTHI MENEXE;Agatsa Winery;Syrah;Thiva;Thiva;2022;27;b;;;;;;;;;;;;
IANTHI MENEXE;Agatsa Winery;Syrah;Thiva;Thiva;2022;27;c;;;;;;;;;;;;
SAUVIGNON BLANC ELASSONA 2021;Elassona Winery;Sauvignon blanc;Elassona;Elassona;2023;28;a;;;;;;;;;;;;
SAUVIGNON BLANC ELASSONA 2021;Elassona Winery;Sauvignon blanc;Elassona;Elassona;2023;28;b;;;;;;;;;;;;
SAUVIGNON BLANC ELASSONA 2021;Elassona Winery;Sauvignon blanc;Elassona;Elassona;2023;28;c;;;;;;;;;;;;
SYRAH ELASSONA 2020;Elassona Winery;Syrah;Elassona;Elassona;2020;29;a;;;;;;;;;;;;
SYRAH ELASSONA 2020;Elassona Winery;Syrah;Elassona;Elassona;2020;29;b;;;;;;;;;;;;
SYRAH ELASSONA 2020;Elassona Winery;Syrah;Elassona;Elassona;2020;29;c;;;;;;;;;;;;
ASSYRTIKO LARISSA 2021;Elassona Winery;Assyrtiko;Elassona;Elassona;2021;30;a;;;;;;;;;;;;
ASSYRTIKO LARISSA 2021;Elassona Winery;Assyrtiko;Elassona;Elassona;2021;30;b;;;;;;;;;;;;
ASSYRTIKO LARISSA 2021;Elassona Winery;Assyrtiko;Elassona;Elassona;2021;30;c;;;;;;;;;;;;
XINOMAVRO KIR GIANNIS 2021;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2021;31;a;;;;;;;;;;;;
XINOMAVRO KIR GIANNIS 2021;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2021;31;b;;;;;;;;;;;;
XINOMAVRO KIR GIANNIS 2021;Kir Yiannis;Xinomavro;Amydeo;Amydeo;2021;31;c;;;;;;;;;;;;
XINOMAVRO BLEND 2021;Agricultural University Athens;Xinomavro;Naousa;Naousa;2021;32;a;;;;;;;;;;;;
XINOMAVRO BLEND 2021;Agricultural University Athens;Xinomavro;Naousa;Naousa;2021;32;b;;;;;;;;;;;;
XINOMAVRO BLEND 2021;Agricultural University Athens;Xinomavro;Naousa;Naousa;2021;32;c;;;;;;;;;;;;
XINOMAVRO KARDITSA RAPSANI BLEND 2020;Agricultural University Athens;Xinomavro;Karditsa- Rapsani;Karditsa- Rapsani;2020;33;a;;;;;;;;;;;;
XINOMAVRO KARDITSA RAPSANI BLEND 2020;Agricultural University Athens;Xinomavro;Karditsa- Rapsani;Karditsa- Rapsani;2020;33;b;;;;;;;;;;;;
XINOMAVRO KARDITSA RAPSANI BLEND 2020;Agricultural University Athens;Xinomavro;Karditsa- Rapsani;Karditsa- Rapsani;2020;33;c;;;;;;;;;;;;
ASSYRTIKO LYKOS EVIA 2022;Lykos Winery;Assyrtiko;Evia;Evia;2022;34;a;;;;;;;;;;;;
ASSYRTIKO LYKOS EVIA 2022;Lykos Winery;Assyrtiko;Evia;Evia;2022;34;b;;;;;;;;;;;;
ASSYRTIKO LYKOS EVIA 2022;Lykos Winery;Assyrtiko;Evia;Evia;2022;34;c;;;;;;;;;;;;
AGERIKO LIPSI WINERY ;Lipsi Winery;Assyrtiko;Lipsi  Island;Lipsi;2020;35;a;;;;;;;;;;;;
AGERIKO LIPSI WINERY ;Lipsi Winery;Assyrtiko;Lipsi Island;Lipsi;2020;35;b;;;;;;;;;;;;
AGERIKO LIPSI WINERY ;Lipsi Winery;Assyrtiko;Lipsi Island;Lipsi;2020;35;c;;;;;;;;;;;;
ASSYRTIKO ;Tsimpidi Winery;Assyrtiko;Monemvasia;Monemvasia;2021;36;a;;;;;;;;;;;;
ASSYRTIKO ;Tsimpidi Winery;Assyrtiko;Monemvasia;Monemvasia;2021;36;b;;;;;;;;;;;;
ASSYRTIKO ;Tsimpidi Winery;Assyrtiko;Monemvasia;Monemvasia;2021;36;c;;;;;;;;;;;;
Syrah;Alpha Estate;Syrah;Florina-Xelwnes;Xelwnes;2020;37;a;;;;;;;;;;;;
Syrah;Alpha Estate;Syrah;Florina- Xelwnes;Xelwnes;2020;37;b;;;;;;;;;;;;
Syrah;Alpha Estate;Syrah;Florina- Xelwnes;Xelwnes;2020;37;c;;;;;;;;;;;;
Sauvignon blanc;Alpha Estate;Sauvignon blanc;Florina;florina;2020;38;a;;;;;;;;;;;;
Sauvignon blanc;Alpha Estate;Sauvignon blanc;Florina;florina;2020;38;b;;;;;;;;;;;;
Sauvignon blanc;Alpha Estate;Sauvignon blanc;Florina;florina;2020;38;c;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;39;a;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;39;b;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;39;c;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;40;a;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;40;b;;;;;;;;;;;;
Assyrtiko;Tsimpidi Winery;Assyrtiko;Tsimpidh;Lakwnia;2021;40;c;;;;;;;;;;;;
