Sample Number;Supplier ;Company;TYPE;Product name ;code ;Retailer;Country of Origin;Sampled by;Purchased;Sampling Date;Delivered to NKUA
1;Sklavenitis;Korinthos;dried fruits;Black rasin;1224449;EY BIO;Greece;Natskoulis;internet shop;31/10/2023;Miliordos
2;Sklavenitis;Corinth;dried fruits;Raisin ;1233418;Farmers union;Greece;Natskoulis;internet shop;31/10/2023;Miliordos
3;Sklavenitis;Crete  PDO;dried fruits;Sultana raisin;1381758;Union Crete;Greece;Natskoulis;internet shop;31/10/2023;Miliordos
4;Sklavenitis;Sklavenitis;dried fruits;Strawberries;1229661;Fruit for Snack;Greece;Natskoulis;internet shop;31/10/2023;Miliordos
5;Sklavenitis;Sklavenitis;dried fruits;Raisin Blonde;1224628;Sklavenitis;Greece;Natskoulis;internet shop;31/10/2023;Miliordos
6;Sklavenitis;Sklavenitis;dried fruits;Raisin Black ;1223227;Sklavenitis;Greece;Natskoulis;internet shop;31/10/2023;Miliordos
7;Panegialios;Panegialios;dried fruits;Korithiaki;1;Panegialios;Greece;Miliordos;University of Thessaly;1/11/2023;Miliordos
8;Panegialios;Panegialios;dried fruits;Raisins;2;Panegialios;Greece;Miliordos;University of Thessaly;1/11/2023;Miliordos
9;Panegialios;Panegialios;dried fruits;by products Raisins;3;Panegialios;Greece;Miliordos;University of Thessaly;1/11/2023;Miliordos
10;Panegialios;Panegialios;dried fruits;Raisin Black ;4;Panegialios;Greece;Miliordos;University of Thessaly;1/8/2023;Miliordos
11;Mini Market;Soldatos;dried fruits;Raisin Black ;5;Mini Market;Greece;Miliordos;in shop;March 2024;Miliordos
12;Mini Market;Soldatos;dried fruits;Raisin Blonde;6;Mini Market;Greece;Miliordos;in shop;March 2024;Miliordos
13;Mini Market;no name;dried fruits;Raisin Blonde;7;Mini Market;Greece;Miliordos;in shop;March 2024;Miliordos
14;Mini Market;no name;dried fruits;Raisin Black ;8;Mini Market;Greece;Miliordos;in shop;March 2024;Miliordos
15;Mini Market;Cava Kassopoulio;dried fruits;Raisin Black ;9;Mini Market;Turkey;Miliordos;in shop;March 2024;Miliordos
16;Mini Market;Cava Kassopoulio;dried fruits;Raisin Blonde;10;Mini Market;Turkey;Miliordos;in shop;March 2024;Miliordos
17;Mini Market;Muses cava;dried fruits;Soultana Raisin;11;Mini Market;Greece;Miliordos;in shop;May 2024;Miliordos
18;Mini Market;Muses cava;dried fruits;Soultana Raisin;12;Mini Market;Turkey;Miliordos;in shop;May 2024;Miliordos
19;Mini Market;Cava ;dried fruits;Black rasin;13;Mini Market;Turkey;Miliordos;in shop;May 2024;Miliordos
20;Mini Market;Cava;dried fruits;Black rasin;14;Mini Market;Greece;Miliordos;in shop;May 2024;Miliordos
21;Sklavenitis;Sklavenitis;dried fruits;Black rasin;1223227;Sklavenitis;Greece;Miliordos;internet shop;15/7/2024;Miliordos
22;Sklavenitis;Sklavenitis;dried fruits;Corinthian currants ;1233418;Sklavenitis;Greece;Miliordos;internet shop;15/7/2024;Miliordos
23;Sklavenitis;Sklavenitis;dried fruits;Sultana raisin;1224453;Sklavenitis;Greece;Miliordos;internet shop;15/7/2024;Miliordos
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
